,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Port Hueneme,US,34.1478,-119.1951,66.79,68,75,12.66,broken clouds
1,Nikolskoye,RU,59.7035,30.7861,24.69,90,98,3.76,overcast clouds
2,Juneau,US,58.3019,-134.4197,19.4,100,20,6.91,few clouds
3,Albany,US,42.6001,-73.9662,51.58,85,100,3.0,overcast clouds
4,Lata,PT,40.1629,-8.3327,51.08,93,100,4.97,overcast clouds
5,Urdoma,RU,61.7533,48.5442,19.51,97,98,3.33,light snow
6,Ushuaia,AR,-54.8,-68.3,51.42,57,40,23.02,scattered clouds
7,Russell,US,32.3502,-85.1999,70.88,55,0,14.97,clear sky
8,Busselton,AU,-33.65,115.3333,62.35,79,99,10.47,overcast clouds
9,Mar Del Plata,AR,-38.0023,-57.5575,65.08,97,100,15.01,mist
10,Ribeira Grande,PT,38.5167,-28.7,62.78,76,11,4.0,few clouds
11,Chuy,UY,-33.6971,-53.4616,70.88,85,8,16.11,clear sky
12,Balkanabat,TM,39.5108,54.3671,47.19,26,100,4.52,overcast clouds
13,Tiksi,RU,71.6872,128.8694,-11.22,100,100,14.85,overcast clouds
14,Ewo,CG,-0.8725,14.8206,68.83,97,96,2.98,overcast clouds
15,Mataura,NZ,-46.1927,168.8643,50.49,56,76,9.24,broken clouds
16,Tucano,BR,-10.9631,-38.7867,78.66,63,97,3.94,overcast clouds
17,Bengkulu,ID,-3.8004,102.2655,73.87,87,98,3.78,overcast clouds
18,Toora-Khem,RU,52.4675,96.11,-23.12,100,89,0.81,overcast clouds
19,Kavaratti,IN,10.5669,72.642,80.31,75,5,2.66,clear sky
20,Kobryn,BY,52.2138,24.3564,28.78,94,100,7.87,overcast clouds
21,Dankov,RU,53.2515,39.1555,22.32,69,87,5.57,overcast clouds
22,Ostrovnoy,RU,68.0531,39.5131,21.16,92,90,7.25,overcast clouds
23,Harwich,GB,51.9419,1.2844,48.0,89,52,4.0,broken clouds
24,Kodiak,US,57.79,-152.4072,26.11,54,0,0.0,clear sky
25,Kholm,RU,59.2667,32.85,16.41,89,64,4.25,broken clouds
26,Bethel,US,41.3712,-73.414,57.88,83,100,4.0,overcast clouds
27,Punta Arenas,CL,-53.15,-70.9167,51.91,50,75,34.52,broken clouds
28,Aykhal,RU,66.0,111.5,-27.29,98,99,12.5,overcast clouds
29,Hithadhoo,MV,-0.6,73.0833,80.58,73,61,7.43,broken clouds
30,Thompson,CA,55.7435,-97.8558,-12.84,64,20,5.75,few clouds
31,Bluff,NZ,-46.6,168.3333,50.81,82,97,17.27,overcast clouds
32,Naberera,TZ,-4.2,36.9333,63.03,88,97,7.16,overcast clouds
33,Alice Springs,AU,-23.7,133.8833,71.15,26,0,0.0,clear sky
34,San Andres,CO,12.5847,-81.7006,84.22,65,40,13.8,scattered clouds
35,Saint-Philippe,RE,-21.3585,55.7679,74.79,78,30,9.26,scattered clouds
36,Owando,CG,-0.4819,15.8999,67.91,99,100,0.6,overcast clouds
37,Lodja,CD,-3.4833,23.4333,67.93,100,96,1.48,overcast clouds
38,Binga,ZW,-17.6203,27.3414,73.98,64,10,2.77,clear sky
39,Tasiilaq,GL,65.6145,-37.6368,39.36,97,100,20.94,moderate rain
40,Yellowknife,CA,62.456,-114.3525,-15.45,76,20,2.3,few clouds
41,Miri,MY,4.4148,114.0089,73.54,100,40,4.61,scattered clouds
42,Sur,OM,22.5667,59.5289,73.26,56,72,2.42,broken clouds
43,East London,ZA,-33.0153,27.9116,71.55,90,100,6.08,overcast clouds
