City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Codrington,-38.2667,141.9667,51.1,92,84,8.88,AU,2022-11-26 17:49:46
1,Barrow,71.2906,-156.7887,6.82,72,100,11.5,US,2022-11-26 17:49:46
2,Port Keats,-14.25,129.55,82.08,76,100,5.46,AU,2022-11-26 17:49:47
3,College,64.8569,-147.8028,15.75,89,75,0.0,US,2022-11-26 17:49:47
4,Hofn,64.2539,-15.2082,43.56,79,100,18.16,IS,2022-11-26 17:49:47
5,Bose,45.4612,8.0137,48.29,52,14,5.44,IT,2022-11-26 17:49:48
6,Hithadhoo,-0.6,73.0833,81.7,76,64,9.15,MV,2022-11-26 17:49:48
7,Rikitea,-23.1203,-134.9692,74.52,73,70,4.79,PF,2022-11-26 17:48:43
8,Katherine,-14.4667,132.2667,79.12,83,100,4.61,AU,2022-11-26 17:49:49
9,Norman Wells,65.282,-126.8329,10.44,85,100,2.3,CA,2022-11-26 17:49:49
10,Nikolskoye,59.7035,30.7861,13.89,84,99,6.98,RU,2022-11-26 17:49:49
11,Paracatu,-17.2222,-46.8747,85.35,43,24,2.28,BR,2022-11-26 17:48:47
12,Ushuaia,-54.8,-68.3,49.66,57,75,23.02,AR,2022-11-26 17:49:50
13,Cabo San Lucas,22.8909,-109.9124,79.52,56,0,0.92,MX,2022-11-26 17:49:50
14,Hermanus,-34.4187,19.2345,62.8,66,15,15.39,ZA,2022-11-26 17:49:51
15,Vaini,-21.2,-175.2,77.16,94,40,4.61,TO,2022-11-26 17:49:51
16,Buena Vista,43.4203,-83.8986,55.69,51,0,17.27,US,2022-11-26 17:49:52
17,Punta Arenas,-53.15,-70.9167,55.42,50,75,20.71,CL,2022-11-26 17:48:14
18,Qaqortoq,60.7167,-46.0333,26.98,77,67,5.28,GL,2022-11-26 17:49:52
19,Petatlan,17.5167,-101.2667,87.31,52,6,5.48,MX,2022-11-26 17:49:53
20,Mataura,-46.1927,168.8643,41.13,83,76,2.04,NZ,2022-11-26 17:49:53
21,Busselton,-33.65,115.3333,50.92,85,1,10.27,AU,2022-11-26 17:49:53
22,Mount Gambier,-37.8333,140.7667,51.48,87,79,7.07,AU,2022-11-26 17:48:52
23,Qaanaaq,77.484,-69.3632,0.75,93,100,4.41,GL,2022-11-26 17:49:54
24,Krasnoselkup,65.7,82.4667,-16.65,100,87,6.93,RU,2022-11-26 17:49:54
25,Abu Samrah,35.3029,37.1841,53.71,77,7,6.76,SY,2022-11-26 17:49:55
26,Kapaa,22.0752,-159.319,71.92,82,75,17.27,US,2022-11-26 17:49:55
27,Bredasdorp,-34.5322,20.0403,59.68,66,52,7.72,ZA,2022-11-26 17:49:55
28,Lompoc,34.6391,-120.4579,65.59,36,20,0.0,US,2022-11-26 17:49:56
29,Thompson,55.7435,-97.8558,24.96,100,100,4.61,CA,2022-11-26 17:49:56
30,Balgazyn,51.0,95.2,-8.34,64,100,12.73,RU,2022-11-26 17:49:56
31,Kruisfontein,-34.0033,24.7314,63.88,84,10,3.27,ZA,2022-11-26 17:49:57
32,Mar Del Plata,-38.0023,-57.5575,68.02,89,75,13.8,AR,2022-11-26 17:47:25
33,Hobart,-42.8794,147.3294,56.26,81,75,9.22,AU,2022-11-26 17:47:33
34,Qidong,31.8128,121.6561,60.84,78,13,12.08,CN,2022-11-26 17:49:57
35,Sicamous,50.8331,-118.9856,36.19,90,97,4.25,CA,2022-11-26 17:49:58
36,Souillac,-20.5167,57.5167,75.58,73,40,8.05,MU,2022-11-26 17:49:58
37,Bathsheba,13.2167,-59.5167,86.61,70,40,19.57,BB,2022-11-26 17:49:58
38,Sioux Lookout,50.1001,-91.917,35.67,80,100,5.75,CA,2022-11-26 17:49:59
39,Atuona,-9.8,-139.0333,77.54,73,70,15.26,PF,2022-11-26 17:49:59
40,Iguape,-24.7081,-47.5553,75.29,76,94,11.18,BR,2022-11-26 17:50:00
41,New Norfolk,-42.7826,147.0587,55.92,63,99,5.99,AU,2022-11-26 17:50:00
42,Clarksville,36.5298,-87.3595,59.09,84,0,5.75,US,2022-11-26 17:45:50
43,Kantang,7.4054,99.5156,75.36,92,60,3.24,TH,2022-11-26 17:50:00
44,Chernyshevskiy,63.0128,112.4714,-21.03,92,100,3.29,RU,2022-11-26 17:50:01
45,Mahebourg,-20.4081,57.7,76.24,73,40,8.05,MU,2022-11-26 17:51:02
46,Constitucion,-35.3333,-72.4167,69.94,56,6,5.77,CL,2022-11-26 17:50:31
47,Talnakh,69.4865,88.3972,-16.8,99,100,9.33,RU,2022-11-26 17:51:02
48,Tuktoyaktuk,69.4541,-133.0374,1.4,85,100,13.8,CA,2022-11-26 17:48:46
49,Yellowknife,62.456,-114.3525,-0.9,99,95,3.36,CA,2022-11-26 17:50:07
50,Olinda,-8.0089,-34.8553,83.93,65,40,11.5,BR,2022-11-26 17:51:03
51,Coquimbo,-29.9533,-71.3436,64.13,72,75,9.22,CL,2022-11-26 17:51:03
52,Dikson,73.5069,80.5464,13.26,95,100,12.53,RU,2022-11-26 17:51:04
53,Comitancillo,15.0833,-91.7167,71.91,55,100,2.08,GT,2022-11-26 17:46:10
54,Russell,32.3502,-85.1999,61.92,88,100,5.75,US,2022-11-26 17:51:04
55,Wanning,18.8003,110.3967,77.18,91,58,4.61,CN,2022-11-26 17:51:05
56,Crotone,39.0851,17.1178,57.2,79,100,19.86,IT,2022-11-26 17:51:05
57,Severo-Kurilsk,50.6789,156.125,36.41,88,100,25.64,RU,2022-11-26 17:51:05
58,Albany,42.6001,-73.9662,50.67,53,24,1.01,US,2022-11-26 17:51:06
59,Cururupu,-1.8283,-44.8683,84.83,57,100,5.06,BR,2022-11-26 17:51:06
60,Laguna,38.421,-121.4238,64.09,60,0,5.75,US,2022-11-26 17:51:07
61,Upernavik,72.7868,-56.1549,12.99,90,100,10.74,GL,2022-11-26 17:51:07
62,Polyarnyy,69.1989,33.4478,22.51,88,92,13.4,RU,2022-11-26 17:51:08
63,Shenjiamen,29.9576,122.298,63.1,74,15,8.9,CN,2022-11-26 17:51:08
64,East London,-33.0153,27.9116,61.74,94,75,6.91,ZA,2022-11-26 17:51:08
65,Boende,-0.2167,20.8667,71.28,98,100,2.3,CD,2022-11-26 17:51:09
66,Foca,38.6703,26.7566,53.47,68,77,22.39,TR,2022-11-26 17:51:09
67,Castro,-24.7911,-50.0119,64.96,87,92,10.8,BR,2022-11-26 17:51:09
68,Camalu,30.85,-116.0667,66.51,29,25,4.79,MX,2022-11-26 17:51:10
69,Bengkulu,-3.8004,102.2655,75.29,89,100,3.02,ID,2022-11-26 17:51:10
70,Caravelas,-17.7125,-39.2481,80.31,75,100,11.25,BR,2022-11-26 17:51:11
71,Cockburn Town,21.4612,-71.1419,80.35,71,8,9.73,TC,2022-11-26 17:51:11
72,Uddevalla,58.3478,11.9424,44.08,94,96,5.82,SE,2022-11-26 17:51:11
73,Padang,-0.9492,100.3543,73.45,85,82,3.74,ID,2022-11-26 17:51:12
74,Provideniya,64.3833,-173.3,8.08,77,6,6.62,RU,2022-11-26 17:51:12
75,Necochea,-38.5473,-58.7368,84.09,35,88,9.8,AR,2022-11-26 17:51:12
76,Gornopravdinsk,60.05,69.9,-15.48,96,54,4.23,RU,2022-11-26 17:51:13
77,Morro Bay,35.3658,-120.8499,69.21,41,39,1.99,US,2022-11-26 17:51:13
